Transaction ID,Date,Customer ID,Gender,Age,Product Category,Quantity,Price per Unit,Total Amount,Year,Month,Day,January,Qurter,Product Name
1,01-01-2023,CUST001,Male,34,Beauty,3,50,150,2023,1,1,January,Q1,Hair Oil
2,01-01-2023,CUST002,Female,26,Clothing,2,500,1000,2023,1,1,January,Q1,Jeans
3,01-01-2023,CUST003,Male,50,Electronics,1,30,30,2023,1,1,January,Q1,Power Adapter
4,02-01-2023,CUST004,Male,37,Clothing,1,500,500,2023,1,2,January,Q1,Casual Shirt
5,02-01-2023,CUST005,Male,30,Beauty,2,50,100,2023,1,2,January,Q1,Face Cream
6,02-01-2023,CUST006,Female,45,Beauty,1,30,30,2023,1,2,January,Q1,Hair Oil
7,02-01-2023,CUST007,Male,46,Clothing,2,25,50,2023,1,2,January,Q1,Jeans
8,03-01-2023,CUST008,Male,30,Electronics,4,25,100,2023,1,3,January,Q1,Charging Cable
9,04-01-2023,CUST009,Male,63,Electronics,2,300,600,2023,1,4,January,Q1,OTG Cable
10,04-01-2023,CUST010,Female,52,Clothing,4,50,200,2023,1,4,January,Q1,T-Shirt
11,04-01-2023,CUST011,Male,23,Clothing,2,50,100,2023,1,4,January,Q1,Cotton Trousers
12,05-01-2023,CUST012,Male,35,Beauty,3,25,75,2023,1,5,January,Q1,Makeup Brush
13,05-01-2023,CUST013,Male,22,Electronics,3,500,1500,2023,1,5,January,Q1,Wired Earphones
14,05-01-2023,CUST014,Male,64,Clothing,4,30,120,2023,1,5,January,Q1,Sweater
15,06-01-2023,CUST015,Female,42,Electronics,4,500,2000,2023,1,6,January,Q1,Memory Card
16,06-01-2023,CUST016,Male,19,Clothing,3,500,1500,2023,1,6,January,Q1,T-Shirt
17,07-01-2023,CUST017,Female,27,Clothing,4,25,100,2023,1,7,January,Q1,Denim Jacket
18,07-01-2023,CUST018,Female,47,Electronics,2,25,50,2023,1,7,January,Q1,USB Cable
19,08-01-2023,CUST019,Female,62,Clothing,2,25,50,2023,1,8,January,Q1,T-Shirt
20,08-01-2023,CUST020,Male,22,Clothing,3,300,900,2023,1,8,January,Q1,Casual Shirt
21,09-01-2023,CUST021,Female,50,Beauty,1,500,500,2023,1,9,January,Q1,Hair Serum
22,10-01-2023,CUST022,Male,18,Clothing,2,50,100,2023,1,10,January,Q1,Cotton Trousers
23,10-01-2023,CUST023,Female,35,Clothing,4,30,120,2023,1,10,January,Q1,Cotton Trousers
24,11-01-2023,CUST024,Female,49,Clothing,1,300,300,2023,1,11,January,Q1,Casual Shirt
25,11-01-2023,CUST025,Female,64,Beauty,1,50,50,2023,1,11,January,Q1,Nail Polish
26,11-01-2023,CUST026,Female,28,Electronics,2,500,1000,2023,1,11,January,Q1,Charging Cable
27,13-01-2023,CUST027,Female,38,Beauty,2,25,50,2023,1,13,January,Q1,Face Cream
28,13-01-2023,CUST028,Female,43,Beauty,1,500,500,2023,1,13,January,Q1,Hair Oil
29,13-01-2023,CUST029,Female,42,Electronics,1,30,30,2023,1,13,January,Q1,Mouse
30,13-01-2023,CUST030,Female,39,Beauty,3,300,900,2023,1,13,January,Q1,Makeup Brush
31,14-01-2023,CUST031,Male,44,Electronics,4,300,1200,2023,1,14,January,Q1,Bluetooth Receiver
32,14-01-2023,CUST032,Male,30,Beauty,3,30,90,2023,1,14,January,Q1,Lip Balm
33,14-01-2023,CUST033,Female,50,Electronics,2,50,100,2023,1,14,January,Q1,Memory Card
34,14-01-2023,CUST034,Female,51,Clothing,3,50,150,2023,1,14,January,Q1,Denim Jacket
35,15-01-2023,CUST035,Female,58,Beauty,3,300,900,2023,1,15,January,Q1,Face Cream
36,15-01-2023,CUST036,Male,52,Beauty,3,300,900,2023,1,15,January,Q1,Hair Oil
37,15-01-2023,CUST037,Female,18,Beauty,3,25,75,2023,1,15,January,Q1,Nail Polish
38,16-01-2023,CUST038,Male,38,Beauty,4,50,200,2023,1,16,January,Q1,Compact Powder
39,16-01-2023,CUST039,Male,23,Clothing,4,30,120,2023,1,16,January,Q1,Denim Jacket
40,17-01-2023,CUST040,Male,45,Beauty,1,50,50,2023,1,17,January,Q1,Hair Serum
41,17-01-2023,CUST041,Male,34,Clothing,2,25,50,2023,1,17,January,Q1,Jeans
42,17-01-2023,CUST042,Male,22,Clothing,3,300,900,2023,1,17,January,Q1,Kurti
43,17-01-2023,CUST043,Female,48,Clothing,1,300,300,2023,1,17,January,Q1,Cotton Trousers
44,19-01-2023,CUST044,Female,22,Clothing,1,25,25,2023,1,19,January,Q1,Casual Shirt
45,20-01-2023,CUST045,Female,55,Electronics,1,30,30,2023,1,20,January,Q1,Power Adapter
46,20-01-2023,CUST046,Female,20,Electronics,4,300,1200,2023,1,20,January,Q1,Bluetooth Receiver
47,21-01-2023,CUST047,Female,40,Beauty,3,500,1500,2023,1,21,January,Q1,Hair Serum
48,21-01-2023,CUST048,Male,54,Electronics,3,300,900,2023,1,21,January,Q1,Keyboard
49,21-01-2023,CUST049,Female,54,Electronics,2,500,1000,2023,1,21,January,Q1,Charging Cable
50,22-01-2023,CUST050,Female,27,Beauty,3,25,75,2023,1,22,January,Q1,Hair Serum
51,22-01-2023,CUST051,Male,27,Beauty,3,25,75,2023,1,22,January,Q1,Hair Serum
52,23-01-2023,CUST052,Female,36,Beauty,1,300,300,2023,1,23,January,Q1,Hair Oil
53,23-01-2023,CUST053,Male,34,Electronics,2,50,100,2023,1,23,January,Q1,Mobile Stand
54,23-01-2023,CUST054,Female,38,Electronics,3,500,1500,2023,1,23,January,Q1,Bluetooth Receiver
55,24-01-2023,CUST055,Male,31,Beauty,4,30,120,2023,1,24,January,Q1,Hair Oil
56,24-01-2023,CUST056,Female,26,Clothing,3,300,900,2023,1,24,January,Q1,Hoodie
57,24-01-2023,CUST057,Female,63,Beauty,1,30,30,2023,1,24,January,Q1,Makeup Brush
58,25-01-2023,CUST058,Male,18,Clothing,4,300,1200,2023,1,25,January,Q1,Kurti
59,26-01-2023,CUST059,Male,62,Clothing,1,50,50,2023,1,26,January,Q1,Sweater
60,26-01-2023,CUST060,Male,30,Beauty,3,50,150,2023,1,26,January,Q1,Face Wash
61,26-01-2023,CUST061,Male,21,Beauty,4,50,200,2023,1,26,January,Q1,Hair Serum
62,26-01-2023,CUST062,Male,18,Beauty,2,50,100,2023,1,26,January,Q1,Makeup Brush
63,27-01-2023,CUST063,Male,57,Electronics,2,25,50,2023,1,27,January,Q1,Power Adapter
64,27-01-2023,CUST064,Male,49,Clothing,4,25,100,2023,1,27,January,Q1,Formal Shirt
65,27-01-2023,CUST065,Male,51,Electronics,4,500,2000,2023,1,27,January,Q1,Mobile Stand
66,28-01-2023,CUST066,Female,45,Electronics,1,30,30,2023,1,28,January,Q1,Bluetooth Receiver
67,28-01-2023,CUST067,Female,48,Beauty,4,300,1200,2023,1,28,January,Q1,Hair Serum
68,28-01-2023,CUST068,Male,25,Electronics,1,300,300,2023,1,28,January,Q1,Memory Card
69,29-01-2023,CUST069,Female,56,Beauty,3,25,75,2023,1,29,January,Q1,Compact Powder
70,30-01-2023,CUST070,Female,43,Clothing,1,300,300,2023,1,30,January,Q1,Hoodie
71,30-01-2023,CUST071,Female,51,Beauty,4,25,100,2023,1,30,January,Q1,Nail Polish
72,30-01-2023,CUST072,Female,20,Electronics,4,500,2000,2023,1,30,January,Q1,Power Adapter
73,30-01-2023,CUST073,Male,29,Electronics,3,30,90,2023,1,30,January,Q1,Power Adapter
74,31-01-2023,CUST074,Female,18,Beauty,4,500,2000,2023,1,31,January,Q1,Hair Serum
75,31-01-2023,CUST075,Male,61,Beauty,4,50,200,2023,1,31,January,Q1,Body Lotion
76,31-01-2023,CUST076,Female,22,Electronics,2,50,100,2023,1,31,February,Q1,Power Adapter
77,01-02-2023,CUST077,Female,47,Clothing,2,50,100,2023,2,1,February,Q1,Cotton Trousers
78,01-02-2023,CUST078,Female,47,Clothing,3,500,1500,2023,2,1,February,Q1,Jeans
79,01-02-2023,CUST079,Male,34,Beauty,1,300,300,2023,2,1,February,Q1,Lip Balm
80,02-02-2023,CUST080,Female,64,Clothing,2,30,60,2023,2,2,February,Q1,T-Shirt
89,05-02-2023,CUST089,Female,55,Electronics,4,500,2000,2023,2,5,February,Q1,Charging Cable
82,02-02-2023,CUST082,Female,32,Beauty,4,50,200,2023,2,2,February,Q1,Face Wash
109,10-02-2023,CUST109,Female,34,Electronics,4,500,2000,2023,2,10,February,Q1,Power Adapter
118,13-02-2023,CUST118,Female,30,Electronics,4,500,2000,2023,2,13,February,Q1,Power Adapter
85,04-02-2023,CUST085,Male,31,Clothing,3,50,150,2023,2,4,February,Q1,Formal Shirt
86,04-02-2023,CUST086,Male,19,Beauty,3,30,90,2023,2,4,February,Q1,Face Wash
87,05-02-2023,CUST087,Female,28,Beauty,2,50,100,2023,2,5,February,Q1,Body Lotion
88,05-02-2023,CUST088,Male,56,Clothing,1,500,500,2023,2,5,February,Q1,Sweater
152,25-02-2023,CUST152,Male,43,Electronics,4,500,2000,2023,2,25,February,Q1,Wired Earphones
155,27-02-2023,CUST155,Male,31,Electronics,4,500,2000,2023,2,27,February,Q1,Wired Earphones
157,27-02-2023,CUST157,Male,62,Electronics,4,500,2000,2023,2,27,February,Q1,Bluetooth Receiver
412,25-05-2023,CUST412,Female,19,Electronics,4,500,2000,2023,5,25,February,Q2,Charging Cable
93,05-02-2023,CUST093,Female,35,Beauty,4,500,2000,2023,2,5,February,Q1,Aloe Vera Gel
94,05-02-2023,CUST094,Female,47,Beauty,2,500,1000,2023,2,5,February,Q1,Aloe Vera Gel
95,06-02-2023,CUST095,Female,32,Clothing,2,30,60,2023,2,6,February,Q1,Sweater
96,06-02-2023,CUST096,Female,44,Clothing,2,300,600,2023,2,6,February,Q1,Kurti
97,06-02-2023,CUST097,Female,51,Beauty,2,500,1000,2023,2,6,February,Q1,Lip Balm
98,06-02-2023,CUST098,Female,55,Beauty,2,50,100,2023,2,6,February,Q1,Aloe Vera Gel
416,27-05-2023,CUST416,Male,53,Electronics,4,500,2000,2023,5,27,February,Q2,Bluetooth Receiver
111,11-02-2023,CUST111,Female,34,Electronics,3,500,1500,2023,2,11,February,Q1,Memory Card
101,07-02-2023,CUST101,Male,32,Clothing,2,300,600,2023,2,7,February,Q1,Jeans
102,07-02-2023,CUST102,Female,47,Beauty,2,25,50,2023,2,7,February,Q1,Aloe Vera Gel
103,08-02-2023,CUST103,Female,59,Clothing,1,25,25,2023,2,8,February,Q1,Sweater
104,08-02-2023,CUST104,Female,34,Beauty,2,500,1000,2023,2,8,February,Q1,Hair Oil
356,09-05-2023,CUST356,Male,50,Electronics,3,500,1500,2023,5,9,February,Q2,Charging Cable
106,08-02-2023,CUST106,Female,46,Clothing,1,50,50,2023,2,8,February,Q1,Cotton Trousers
107,09-02-2023,CUST107,Female,21,Clothing,4,300,1200,2023,2,9,February,Q1,T-Shirt
108,10-02-2023,CUST108,Female,27,Beauty,3,25,75,2023,2,10,February,Q1,Compact Powder
369,15-05-2023,CUST369,Male,23,Electronics,3,500,1500,2023,5,15,February,Q2,Keyboard
110,10-02-2023,CUST110,Male,27,Clothing,3,300,900,2023,2,10,February,Q1,Kurti
385,18-05-2023,CUST385,Male,50,Electronics,3,500,1500,2023,5,18,February,Q2,Mobile Stand
112,11-02-2023,CUST112,Male,37,Clothing,3,500,1500,2023,2,11,February,Q1,Denim Jacket
99,07-02-2023,CUST099,Female,50,Electronics,4,300,1200,2023,2,7,February,Q1,Charging Cable
